id,title,genre,vote_average,vote_count,runtime,release_date,revenue,popularity
150540,Inside Out,Drama,8,6560,94,2015-06-09,857611174,128.655964
278927,The Jungle Book,Family,6.7,2892,106,2016-04-07,966550600,94.199316
10138,Iron Man 2,Adventure,6.6,6849,124,2010-04-28,623933331,77.300194
58595,Snow White and the Huntsman,Adventure,5.8,3118,127,2012-05-30,396600000,77.178973
102651,Maleficent,Fantasy,7,4496,97,2014-05-28,758539785,110.620647
119450,Dawn of the Planet of the Apes,Science Fiction,7.3,4410,130,2014-06-26,710644566,243.791743
79698,The Lovers,Action,4.8,34,109,2015-02-13,0,2.418535
64686,47 Ronin,Drama,5.9,1326,119,2013-12-06,150962475,41.796339
100402,Captain America: The Winter Soldier,Action,7.6,5764,136,2014-03-20,714766572,72.225265
10192,Shrek Forever After,Comedy,6,1959,93,2010-05-16,752600867,44.041186
158852,Tomorrowland,Adventure,6.2,2846,130,2015-05-19,209154322,130.311355
177572,Big Hero 6,Adventure,7.8,6135,102,2014-10-24,652105443,203.73459
82690,Wreck-It Ralph,Family,7.1,4570,108,2012-11-01,471222889,62.341073
5255,The Polar Express,Adventure,6.4,1474,100,2004-11-10,305875730,47.323228
47933,Independence Day: Resurgence,Action,4.9,2491,120,2016-06-22,389681935,48.775723
10191,How to Train Your Dragon,Fantasy,7.5,4227,98,2010-03-05,494878759,67.263269
296,Terminator 3: Rise of the Machines,Action,5.9,2143,109,2003-07-02,435000000,69.405188
118340,Guardians of the Galaxy,Action,7.9,9742,121,2014-07-30,773328629,481.098624
157336,Interstellar,Adventure,8.1,10867,169,2014-11-05,675120017,724.247784
27205,Inception,Action,8.1,13752,148,2010-07-14,825532764,167.58371
315011,Shin Godzilla,Action,6.5,143,120,2016-07-29,77000000,9.476999
49051,The Hobbit: An Unexpected Journey,Adventure,7,8297,169,2012-11-26,1021103568,108.849621
9799,The Fast and the Furious,Action,6.6,3428,106,2001-06-22,207283925,6.909942
4922,The Curious Case of Benjamin Button,Fantasy,7.3,3292,166,2008-11-24,333932083,60.269279
49538,X-Men: First Class,Action,7.1,5181,132,2011-05-24,353624124,3.195174
131634,The Hunger Games: Mockingjay - Part 2,Action,6.6,3984,137,2015-11-18,653428261,127.284427
27022,The Sorcerer's Apprentice,Fantasy,5.8,1470,109,2010-07-13,215283742,35.580815
503,Poseidon,Adventure,5.5,583,99,2006-05-12,181674817,21.133748
241259,Alice Through the Looking Glass,Fantasy,6.5,1725,113,2016-05-25,299370084,56.268916
810,Shrek the Third,Fantasy,6,2278,93,2007-05-17,798958165,42.986467
68735,Warcraft,Action,6.3,2268,123,2016-05-25,433677183,63.148529
87101,Terminator Genisys,Science Fiction,5.8,3631,126,2015-06-23,440603537,202.042635
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure,6.2,1514,113,2010-08-13,415686217,49.661984
676,Pearl Harbor,History,6.6,1791,183,2001-05-21,449220945,34.20669
1858,Transformers,Adventure,6.6,4040,144,2007-06-27,709709780,25.468493
1966,Alexander,War,5.6,927,175,2004-11-21,167298192,39.019229
675,Harry Potter and the Order of the Phoenix,Adventure,7.4,5494,138,2007-06-28,938212738,78.144395
674,Harry Potter and the Goblet of Fire,Adventure,7.5,5608,157,2005-11-05,895921036,101.250416
8960,Hancock,Fantasy,6.2,2961,92,2008-07-01,624029371,56.758411
6479,I Am Legend,Drama,6.9,4853,101,2007-12-14,585349010,70.867401
118,Charlie and the Chocolate Factory,Adventure,6.7,3624,115,2005-07-13,474968763,53.905592
2062,Ratatouille,Animation,7.5,4369,111,2007-06-22,623722818,65.677399
272,Batman Begins,Action,7.5,7359,140,2005-06-10,374218673,115.040024
10527,Madagascar: Escape 2 Africa,Family,6.2,1810,89,2008-10-30,603900354,44.141021
18360,Night at the Museum: Battle of the Smithsonian,Adventure,5.9,1971,105,2009-05-20,413106170,81.781591
2080,X-Men Origins: Wolverine,Adventure,6.2,4021,107,2009-04-28,373062864,5.954334
605,The Matrix Revolutions,Adventure,6.4,3096,129,2003-11-05,424988211,73.313918
109445,Frozen,Animation,7.3,5295,102,2013-11-27,1274219009,165.125366
604,The Matrix Reloaded,Adventure,6.7,3443,138,2003-05-15,738599701,70.78591
76338,Thor: The Dark World,Action,6.8,4755,112,2013-10-29,644571402,99.499595
76341,Mad Max: Fury Road,Action,7.2,9427,120,2015-05-13,378858340,434.278564
13448,Angels & Demons,Thriller,6.5,2129,138,2009-05-13,356613439,67.447636
10195,Thor,Adventure,6.6,6525,115,2011-04-21,449326618,86.493424
13053,Bolt,Animation,6.3,1750,98,2008-11-21,309979994,41.845878
19585,G-Force,Fantasy,5.1,510,88,2009-07-21,292817841,26.710398
57165,Wrath of the Titans,Adventure,5.5,1431,99,2012-03-27,301000000,44.927635
62213,Dark Shadows,Comedy,5.7,2320,113,2012-05-08,245527149,50.306728
177677,Mission: Impossible - Rogue Nation,Action,7.1,3224,131,2015-07-23,682330139,114.522237
7978,The Wolfman,Drama,5.5,549,102,2010-02-11,0,21.214571
5559,Bee Movie,Family,5.7,1171,91,2007-10-28,287594577,29.332905
49444,Kung Fu Panda 2,Animation,6.7,1880,91,2011-05-25,665692281,51.247321
10196,The Last Airbender,Action,4.7,1151,103,2010-06-30,318502923,33.769336
956,Mission: Impossible III,Adventure,6.5,2028,126,2006-05-03,397850012,63.079003
117251,White House Down,Action,6.4,1891,131,2013-06-27,205366737,39.004588
50321,Mars Needs Moms,Adventure,5.5,199,88,2011-03-09,38992758,12.362599
11619,Flushed Away,Adventure,6,874,85,2006-10-22,64459316,22.550135
266647,Pan,Adventure,5.9,954,111,2015-09-24,128388320,48.03528
82703,Mr. Peabody & Sherman,Animation,6.7,843,92,2014-02-07,272912430,38.73494
652,Troy,Adventure,6.9,2759,163,2004-05-13,497409852,66.803149
80321,Madagascar 3: Europe's Most Wanted,Animation,6.4,1808,93,2012-06-06,746921274,44.989192
36669,Die Another Day,Adventure,5.8,1092,133,2002-11-17,431971116,54.159392
43074,Ghostbusters,Action,5.3,2142,116,2016-07-14,229147509,66.21806
95,Armageddon,Action,6.4,2482,151,1998-07-01,553799566,58.485967
608,Men in Black II,Action,6,3114,88,2002-07-03,441818803,91.332849
2310,Beowulf,Adventure,5.5,841,115,2007-11-05,195735876,35.601665
140300,Kung Fu Panda 3,Action,6.7,1603,95,2016-01-23,521170825,56.747978
56292,Mission: Impossible - Ghost Protocol,Action,6.8,3972,133,2011-12-07,694713380,77.77477
81188,Rise of the Guardians,Fantasy,7.1,1922,97,2012-11-21,306941670,61.788035
7552,Fun with Dick and Jane,Comedy,5.9,627,90,2005-12-21,202026112,25.159168
616,The Last Samurai,Drama,7.3,1895,154,2003-12-05,456758981,52.341226
147441,Exodus: Gods and Kings,Adventure,5.6,1921,150,2014-12-03,268031828,101.599427
13475,Star Trek,Science Fiction,7.4,4518,127,2009-05-06,385680446,73.616808
557,Spider-Man,Fantasy,6.8,5265,121,2002-05-01,821708551,82.502566
82702,How to Train Your Dragon 2,Fantasy,7.6,3106,102,2014-06-12,609123048,100.21391
205584,Gods of Egypt,Fantasy,5.3,1277,127,2016-02-25,150680864,56.257249
10048,Stealth,Action,4.9,331,121,2005-07-28,76932943,17.88953
13183,Watchmen,Action,7,2811,163,2009-03-05,185258983,64.798873
944,Lethal Weapon 4,Action,6.3,767,127,1998-07-10,285444603,24.855701
1927,Hulk,Drama,5.3,1533,138,2003-06-19,245360480,34.981698
72559,G.I. Joe: Retaliation,Adventure,5.4,3025,110,2013-03-26,371876278,59.325589
7364,Sahara,Action,5.7,434,124,2005-04-06,119269486,21.605568
2114,Final Fantasy: The Spirits Within,Adventure,5.9,433,106,2001-07-02,85131830,26.074908
1771,Captain America: The First Avenger,Action,6.6,7047,124,2011-07-22,370569774,74.506246
36643,The World Is Not Enough,Adventure,6,862,128,1999-11-08,361832400,39.604363
8619,Master and Commander: The Far Side of the World,Adventure,6.9,790,138,2003-11-14,212011111,36.973031
50620,The Twilight Saga: Breaking Dawn - Part 2,Adventure,6.1,2553,115,2012-11-13,829000000,99.687084
65759,Happy Feet Two,Animation,5.8,373,100,2011-11-17,150406466,17.7735
1724,The Incredible Hulk,Science Fiction,6.1,3021,114,2008-06-12,163712074,62.898336
267935,The BFG,Adventure,6,1000,120,2016-06-01,183345589,44.19092
281957,The Revenant,Western,7.3,6396,156,2015-12-25,532950503,100.635882
77950,Turbo,Animation,6.1,1074,96,2013-07-11,282570682,44.765377
44896,Rango,Animation,6.6,2051,107,2011-03-02,245724603,29.91353
270946,Penguins of Madagascar,Family,6.5,1346,92,2014-11-22,373552094,84.366984
2503,The Bourne Ultimatum,Action,7.3,2888,115,2007-08-03,442824138,45.381501
9502,Kung Fu Panda,Adventure,6.9,3145,90,2008-06-04,631744560,84.689648
102899,Ant-Man,Science Fiction,7,5880,117,2015-07-14,519311965,120.09361
101299,The Hunger Games: Catching Fire,Adventure,7.4,6495,146,2013-11-15,847423452,76.310119
228161,Home,Fantasy,6.8,1519,94,2015-03-18,368871007,63.473086
74,War of the Worlds,Adventure,6.2,2322,116,2005-06-28,591739379,48.572726
8961,Bad Boys II,Adventure,6.3,1564,147,2003-07-18,273339556,38.068736
417859,Puss in Boots,Action,6.4,451,90,2011-10-28,554987477,20.678787
27576,Salt,Action,6.2,2093,100,2010-07-21,293329073,48.829437
86834,Noah,Drama,5.6,2350,139,2014-03-20,362637473,46.115758
17578,The Adventures of Tintin,Adventure,6.7,2061,107,2011-10-25,371940071,89.938296
673,Harry Potter and the Prisoner of Azkaban,Adventure,7.7,5877,141,2004-05-31,789804554,79.679601
6972,Australia,Drama,6.3,694,165,2008-11-18,49554002,28.840997
82700,After Earth,Science Fiction,5,2532,100,2013-05-30,243843127,42.840582
10567,Dinosaur,Animation,6.2,542,82,2000-05-19,354248063,26.548594
181533,Night at the Museum: Secret of the Tomb,Adventure,6.1,1851,97,2014-12-17,349424282,115.597753
38055,Megamind,Animation,6.7,1918,95,2010-10-28,321887208,68.757242
671,Harry Potter and the Philosopher's Stone,Adventure,7.5,7006,152,2001-11-16,976475550,109.984351
49524,R.I.P.D.,Fantasy,5.4,1260,96,2013-07-18,61648500,39.448066
22,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,7.5,6985,143,2003-07-09,655011224,271.972889
131631,The Hunger Games: Mockingjay - Part 1,Science Fiction,6.6,5584,123,2014-11-18,752100229,206.227151
591,The Da Vinci Code,Thriller,6.5,2704,149,2006-05-17,767820459,45.313197
172385,Rio 2,Animation,6.3,978,102,2014-03-19,500188435,42.40024
36658,X2,Adventure,6.8,3506,133,2003-04-24,407711549,2.871739
51497,Fast Five,Action,7.1,2438,130,2011-04-20,626137675,7.255718
58574,Sherlock Holmes: A Game of Shadows,Adventure,7,3886,129,2011-11-22,334615000,81.499621
18823,Clash of the Titans,Adventure,5.6,2233,106,2010-04-01,232713139,47.686442
861,Total Recall,Action,7.1,1710,113,1990-06-01,261317921,43.129703
1911,The 13th Warrior,Adventure,6.4,510,102,1999-08-27,61698899,27.220157
49040,The Bourne Legacy,Action,6,2651,120,2012-08-08,276572938,90.33681
415,Batman & Robin,Action,4.2,1418,125,1997-06-20,238207122,50.073575
8871,How the Grinch Stole Christmas,Family,6.2,1386,104,2000-11-17,345141403,45.419668
435,The Day After Tomorrow,Action,6.2,2392,124,2004-05-26,544272402,41.380094
955,Mission: Impossible II,Adventure,5.9,1928,123,2000-05-24,546388105,54.931334
2133,The Perfect Storm,Drama,6.2,597,130,2000-03-15,325756637,25.752118
1979,Fantastic 4: Rise of the Silver Surfer,Adventure,5.4,2589,92,2007-06-13,289047763,60.810723
87827,Life of Pi,Adventure,7.2,5797,127,2012-11-20,609016565,51.328145
1250,Ghost Rider,Thriller,5.2,1712,114,2007-02-16,228738393,46.834704
324668,Jason Bourne,Action,5.9,2341,123,2016-07-27,415484914,62.641286
9471,Charlie's Angels: Full Throttle,Action,5.2,914,106,2003-06-27,259175788,33.616115
70981,Prometheus,Science Fiction,6.3,5080,124,2012-05-30,403170142,68.889395
10996,Stuart Little 2,Family,5.4,613,78,2002-07-19,169956806,27.990284
68724,Elysium,Science Fiction,6.4,3439,109,2013-08-07,286140700,67.33767
2789,The Chronicles of Riddick,Action,6.3,1570,119,2004-06-11,115772733,27.835436
97020,RoboCop,Action,5.7,2342,102,2014-01-30,242688965,66.757869
7459,Speed Racer,Action,5.7,354,135,2008-05-09,93945766,17.060695
42888,How Do You Know,Comedy,4.9,223,121,2010-12-17,48668907,11.137655
37834,Knight and Day,Action,5.9,1547,109,2010-06-15,261930431,44.906918
75612,Oblivion,Action,6.4,4800,124,2013-04-10,286168572,67.698004
1895,Star Wars: Episode III - Revenge of the Sith,Science Fiction,7.1,4116,140,2005-05-17,850000000,44.108427
1894,Star Wars: Episode II - Attack of the Clones,Adventure,6.4,3992,142,2002-05-15,649398328,43.987061
585,"Monsters, Inc.",Animation,7.5,5996,92,2001-11-01,562816256,106.815545
76170,The Wolverine,Action,6.3,4053,126,2013-07-23,415440673,15.953444
1893,Star Wars: Episode I - The Phantom Menace,Adventure,6.3,4432,136,1999-05-19,924317558,54.035265
49519,The Croods,Adventure,6.8,2399,98,2013-03-20,585178928,64.183321
2395,Asterix at the Olympic Games,Fantasy,5,471,116,2008-01-13,132900000,20.344364
12100,Windtalkers,Drama,5.8,341,134,2002-06-14,77628265,18.714197
290595,The Huntsman: Winter's War,Action,6,1523,114,2016-04-06,164602163,60.467984
98566,Teenage Mutant Ninja Turtles,Science Fiction,5.8,2636,101,2014-08-07,477200000,143.350376
49047,Gravity,Science Fiction,7.3,5751,91,2013-09-27,716392705,110.153618
9619,Dante's Peak,Action,5.7,428,108,1997-02-07,178127760,16.90444
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,Fantasy,5.8,963,112,2016-06-01,245623848,39.873791
166424,Fantastic Four,Action,4.4,2278,100,2015-08-05,167977596,38.126095
1593,Night at the Museum,Action,6.3,2862,108,2006-10-20,574480841,48.780039
254128,San Andreas,Action,6,2968,114,2015-05-27,470490832,100.412364
714,Tomorrow Never Dies,Adventure,6,925,119,1997-12-11,333011068,42.887121
2024,The Patriot,Drama,6.8,1099,165,2000-06-28,215294342,23.657284
163,Ocean's Twelve,Thriller,6.4,2124,125,2004-12-09,362744280,76.840712
787,Mr. & Mrs. Smith,Action,6.5,2965,120,2005-06-07,478207520,44.635452
262500,Insurgent,Adventure,6.2,3829,119,2015-03-18,295238201,103.718387
2567,The Aviator,Drama,7,1489,170,2004-12-17,102000000,45.616098
38745,Gulliver's Travels,Comedy,4.9,621,85,2010-12-25,237382724,22.845143
40805,The Green Hornet,Action,5.5,1251,119,2011-01-12,227817248,31.703608
53182,300: Rise of an Empire,Action,6.1,2397,102,2014-03-05,337580051,71.510596
41513,The Smurfs,Animation,5.5,1179,103,2011-07-29,563749323,36.65422
13700,Home on the Range,Animation,5.7,389,76,2004-04-02,103951461,19.625972
262504,Allegiant,Adventure,5.9,1998,121,2016-03-09,179246868,86.105615
39254,Real Steel,Action,6.6,2692,127,2011-09-28,299268508,37.195046
77931,The Smurfs 2,Fantasy,5.5,695,105,2013-07-30,347434178,32.473628
1639,Speed 2: Cruise Control,Action,4.1,434,121,1997-06-13,164508066,23.336875
80274,Ender's Game,Science Fiction,6.6,2303,114,2013-10-23,125537191,45.94834
1571,Live Free or Die Hard,Action,6.4,2089,128,2007-06-20,383531464,48.93337
120,The Lord of the Rings: The Fellowship of the Ring,Adventure,8,8705,178,2001-12-18,871368364,138.049577
10204,Around the World in 80 Days,Action,5.7,672,120,2004-06-16,72178895,22.643776
8489,Ali,Drama,6.7,447,157,2001-12-11,87713825,18.866672
10588,The Cat in the Hat,Comedy,4.9,366,82,2003-11-21,0,18.251129
2048,"I, Robot",Action,6.7,3793,115,2004-07-15,347234916,95.914473
1495,Kingdom of Heaven,Drama,6.6,1157,144,2005-05-03,211643158,44.490453
10137,Stuart Little,Animation,5.8,959,84,1999-12-17,300135367,30.475297
10198,The Princess and the Frog,Romance,6.7,1247,97,2009-12-08,267045765,62.479574
286217,The Martian,Drama,7.6,7268,141,2015-09-30,630161890,167.93287
1635,The Island,Action,6.5,1770,136,2005-07-20,162949164,37.68056
24113,Town & Country,Comedy,3.7,16,104,2001-04-27,10372291,1.004579
9679,Gone in Sixty Seconds,Action,6.1,1485,118,2000-06-09,237202299,52.995628
98,Gladiator,Action,7.9,5439,155,2000-05-01,457640427,95.301296
180,Minority Report,Action,7.1,2608,145,2002-06-20,358372926,65.948959
672,Harry Potter and the Chamber of Secrets,Adventure,7.4,5815,161,2002-11-13,876688482,132.397737
36557,Casino Royale,Adventure,7.3,3855,144,2006-11-14,599045960,88.935165
869,Planet of the Apes,Thriller,5.6,1243,119,2001-07-25,362211740,51.188633
280,Terminator 2: Judgment Day,Action,7.7,4185,137,1991-07-01,520000000,101.74155
11322,Public Enemies,History,6.5,1344,140,2009-07-01,214104620,33.691694
4982,American Gangster,Drama,7.4,1502,157,2007-11-02,266465037,42.361215
36955,True Lies,Action,6.8,1116,141,1994-07-14,378882411,38.729418
18487,The Taking of Pelham 1 2 3,Thriller,6.2,954,106,2009-06-11,150166126,40.597856
39451,Little Fockers,Comedy,5.4,1060,98,2010-12-21,310650585,32.389353
27581,The Other Guys,Action,6.1,1383,107,2010-08-06,170432927,24.399642
9268,Eraser,Action,5.6,543,115,1996-06-21,242295562,24.507987
68718,Django Unchained,Drama,7.8,10099,165,2012-12-25,425368238,82.121691
10545,The Hunchback of Notre Dame,Drama,6.8,1129,91,1996-06-21,100138851,46.727941
11688,The Emperor's New Groove,Adventure,7.2,1490,78,2000-12-09,169327687,51.113717
76163,The Expendables 2,Action,6.1,2896,103,2012-08-08,312573423,53.732892
2059,National Treasure,Adventure,6.4,1926,131,2004-11-19,347451894,58.849256
2486,Eragon,Fantasy,4.9,967,104,2006-12-14,249288105,30.863434
16523,Where the Wild Things Are,Family,6.4,572,101,2009-10-16,100086793,31.586215
116711,Epic,Animation,6.4,1121,102,2013-05-15,268426634,36.711378
37710,The Tourist,Action,6,1699,103,2010-12-08,278731369,41.426678
9946,End of Days,Action,5.5,482,121,1999-11-24,211989043,20.652943
1372,Blood Diamond,Drama,7.3,2281,143,2006-12-07,170877916,52.792678
106646,The Wolf of Wall Street,Crime,7.9,6571,180,2013-12-25,392000694,95.007934
414,Batman Forever,Action,5.2,1498,121,1995-05-31,336529144,48.205606
563,Starship Troopers,Adventure,6.7,1560,129,1997-11-06,121214377,58.782359
83542,Cloud Atlas,Drama,6.6,2977,172,2012-10-26,130482868,73.872343
41216,Legend of the Guardians: The Owls of Ga'Hoole,Animation,6.5,703,97,2010-07-10,140073390,37.321848
314,Catwoman,Action,4.2,808,104,2004-07-22,82102379,32.271938
184315,Hercules,Action,5.6,1680,99,2014-07-23,243400000,76.842247
9016,Treasure Planet,Adventure,7.2,948,95,2002-11-26,109578115,38.924136
18162,Land of the Lost,Adventure,5.3,381,102,2009-06-05,68688831,19.38841
138103,The Expendables 3,Action,6.1,1795,127,2014-08-04,206172544,61.025639
257088,Point Break,Action,5.5,783,114,2015-12-03,133718711,33.507289
10214,Son of the Mask,Fantasy,3.6,338,94,2005-02-18,0,17.815595
205775,In the Heart of the Sea,Thriller,6.5,1276,122,2015-11-20,93820758,50.767332
11692,The Adventures of Pluto Nash,Action,4.4,142,95,2002-08-15,7103973,12.092241
22972,Green Zone,War,6.4,717,115,2010-03-11,94882889,30.254021
227973,The Peanuts Movie,Animation,6.5,604,88,2015-11-05,246233113,34.308098
29193,The Spanish Prisoner,Crime,7.1,73,110,1997-09-08,13835130,3.091077
1734,The Mummy Returns,Adventure,6,2206,130,2001-04-28,433013274,41.862983
3131,Gangs of New York,Drama,7.1,1910,167,2002-12-14,193772504,46.160048
76758,The Flowers of War,Drama,7.1,187,145,2011-12-15,95311434,12.516546
9408,Surf's Up,Animation,5.9,601,85,2007-06-08,149044513,23.230851
9890,The Stepford Wives,Action,5.4,334,93,2004-06-10,102000000,19.224754
855,Black Hawk Down,Action,7.2,1811,144,2001-12-28,172989651,44.455166
77953,The Campaign,Comedy,5.6,578,85,2012-08-09,104907746,16.460356
18,The Fifth Element,Adventure,7.3,3885,126,1997-05-07,263920180,109.528572
37786,Sex and the City 2,Comedy,5.4,426,146,2010-05-26,288347692,18.325897
10501,The Road to El Dorado,Adventure,7,858,89,2000-03-31,76432727,37.054554
57800,Ice Age: Continental Drift,Animation,6.2,2672,88,2012-06-26,877244782,65.229868
150689,Cinderella,Romance,6.7,2374,105,2015-03-12,543514353,101.187052
7980,The Lovely Bones,Fantasy,6.6,1065,136,2009-12-26,93525586,29.257137
12,Finding Nemo,Animation,7.6,6122,100,2003-05-30,940335536,85.688789
122,The Lord of the Rings: The Return of the King,Adventure,8.1,8064,201,2003-12-01,1118888979,123.630332
121,The Lord of the Rings: The Two Towers,Adventure,8,7487,179,2002-12-18,926287400,106.914973
68737,Seventh Son,Adventure,5.2,957,102,2014-12-12,114178613,63.628459
1995,Lara Croft: Tomb Raider,Adventure,5.7,2192,100,2001-06-11,274703340,41.498631
157353,Transcendence,Thriller,5.9,2295,119,2014-04-16,103039258,58.991388
